Field Name,Column ID,type
GLOBALEVENTID,0,int
SQLDATE,1,int
MonthYear,2,mediumint
Year,3,smallint
FractionDate,4,float
Actor1Code,5,text
Actor1Name,6,text
Actor1CountryCode,7,text
Actor1KnownGroupCode,8,text
Actor1EthnicCode,9,text
Actor1Religion1Code,10,text
Actor1Religion2Code,11,text
Actor1Type1Code,12,text
Actor1Type2Code,13,text
Actor1Type3Code,14,text
Actor2Code,15,text
Actor2Name,16,text
Actor2CountryCode,17,text
Actor2KnownGroupCode,18,text
Actor2EthnicCode,19,text
Actor2Religion1Code,20,text
Actor2Religion2Code,21,text
Actor2Type1Code,22,text
Actor2Type2Code,23,text
Actor2Type3Code,24,text
IsRootEvent,25,bool
EventCode,26,text
EventBaseCode,27,text
EventRootCode,28,text
QuadClass,29,int
GoldsteinScale,30,float
NumMentions,31,int
NumSources,32,int
NumArticles,33,int
AvgTone,34,float
Actor1Geo_Type,35,int
Actor1Geo_FullName,36,text
Actor1Geo_CountryCode,37,text
Actor1Geo_ADM1Code,38,text
Actor1Geo_Lat,39,float
Actor1Geo_Long,40,float
Actor1Geo_FeatureID,41,text
Actor2Geo_Type,42,text
Actor2Geo_FullName,43,text
Actor2Geo_CountryCode,44,text
Actor2Geo_ADM1Code,45,text
Actor2Geo_Lat,46,float
Actor2Geo_Long,47,float
Actor2Geo_FeatureID,48,text
ActionGeo_Type,49,text
ActionGeo_FullName,50,text
ActionGeo_CountryCode,51,text
ActionGeo_ADM1Code,52,text
ActionGeo_Lat,53,float
ActionGeo_Long,54,float
ActionGeo_FeatureID,55,text
DATEADDED,56,text
SOURCEURL,57,text
